# config/arc_environment_recorded.csv
# Captured on ARC by:
#   module load R/4.4.2-gfbf-2024a
#   export R_LIBS_USER=$DATA/PROJECT_GROUP/R/library_4.4
#   Rscript scripts/record_environment.R --out config/arc_environment_recorded.csv
# Regenerate the same way after any change to the ARC library.
# Environment record written by scripts/record_environment.R.
# A RECORD of what was present, not a specification of what is required;
# the requirements live in R/12_environment.R. See docs/reproducibility.md.
#
#   recorded_at 2026-07-30T15:11:49+0100
#   git_sha     
#   R           4.4.2 (x86_64-pc-linux-gnu)
#   os          Linux 5.14.0-687.29.1.el9_8.x86_64
#   compiler    gcc (GCC) 13.3.0
#   cmdstan     cmdstan-2.39.0
#   r_module    R/4.4.2-gfbf-2024a
#   slurm_job   (not a SLURM job)
#
# Libraries searched, in the order R resolves them:
#   1. /data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4
#   2. /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#
# Shadowed copies (present in a later library, so NOT the version used):
#   cpp11 0.5.0  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   httr2 1.0.6  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   knitr 1.49  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   ps 1.8.1  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   rlang 1.1.4  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   systemfonts 1.1.0  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   yaml 2.3.10  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
"Package","Version","Library"
"Brobdingnag","1.2-9","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"bslib","0.8.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"cachem","1.1.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"callr","3.7.6","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"checkmate","2.3.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"cli","3.6.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"clipr","0.8.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"cmdstanr","0.8.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"coda","0.19-4.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"codetools","0.2-20","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"colorspace","2.1-2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"commonmark","1.9.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"compiler","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"cpp11","0.5.5","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"crayon","1.5.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"credentials","2.0.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"curl","6.0.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"data.table","1.18.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"datasets","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"desc","1.4.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"devtools","2.4.5","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"diffobj","0.3.5","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"digest","0.6.37","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"distributional","0.7.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"downlit","0.4.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"dplyr","1.1.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"ellipsis","0.3.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"evaluate","1.0.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"fansi","1.0.6","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"farver","2.1.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"fastmap","1.2.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"fontawesome","0.5.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"forcats","1.0.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"fs","1.6.5","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"future","1.70.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"future.apply","1.20.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"generics","0.1.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"gert","2.1.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"getopt","1.21.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"ggplot2","3.5.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"ggridges","0.5.7","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"gh","1.4.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"gitcreds","0.1.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"globals","0.19.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"glue","1.8.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"graphics","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"grDevices","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"grid","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"gridExtra","2.3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"gtable","0.3.6","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"here","1.0.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"highr","0.11","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"hms","1.1.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"htmltools","0.5.8.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"htmlwidgets","1.6.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"httpuv","1.6.15","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"httr","1.4.7","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"httr2","1.0.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"humaniformat","0.6.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"igraph","2.3.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"ini","0.3.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"inline","0.3.21","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"isoband","0.3.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"jquerylib","0.1.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"jsonlite","1.8.9","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"kableExtra","1.4.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"knitr","1.46","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"labeling","0.4.3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"later","1.3.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"lattice","0.22-9","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"lifecycle","1.0.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"listenv","0.10.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"loo","2.9.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"magrittr","2.0.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"MASS","7.3-65","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"Matrix","1.7-5","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"matrixStats","1.5.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"memoise","2.0.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"methods","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"mgcv","1.9-4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"mime","0.12","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"miniUI","0.1.1.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"munsell","0.5.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"mvtnorm","1.4-0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"nleqslv","3.3.7","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"nlme","3.1-169","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"numDeriv","2016.8-1.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"openssl","2.2.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"optparse","1.7.5","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"ordinal","2023.12-4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"parallel","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"parallelly","1.47.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"pillar","1.9.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"pkgbuild","1.4.5","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"pkgconfig","2.0.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"pkgdown","2.1.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"pkgload","1.4.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"plyr","1.8.9","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"posterior","1.5.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"praise","1.0.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"prettyunits","1.2.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"processx","3.8.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"profvis","0.4.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"progress","1.2.3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"promises","1.3.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"ps","1.9.3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"purrr","1.0.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"quarto","1.4.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"QuickJSR","1.10.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"R6","2.5.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"ragg","1.3.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"rappdirs","0.3.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"rcmdcheck","1.4.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"RColorBrewer","1.1-3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"Rcpp","1.0.13-1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"RcppEigen","0.3.4.0.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"RcppParallel","5.1.11-2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"readr","2.1.5","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"rematch2","2.1.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"remotes","2.5.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"renv","1.0.7","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"reshape2","1.4.5","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"rlang","1.2.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"rmarkdown","2.29","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"roxygen2","7.3.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"rprojroot","2.0.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"rstan","2.32.7","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"rstantools","2.6.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"rstudioapi","0.17.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"rversions","2.1.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"sass","0.4.9","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"scales","1.3.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"secretbase","1.2.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"sessioninfo","1.2.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"shiny","1.9.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"sourcetools","0.1.7-1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"splines","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"StanHeaders","2.32.10","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"stats","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"stats4","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"stringi","1.8.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"stringr","1.5.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"svglite","2.2.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"sys","3.4.3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"systemfonts","1.3.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"tarchetypes","0.7.11","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"targets","1.7.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"tcltk","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"tensorA","0.36.2.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"testthat","3.2.1.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"textshaping","0.4.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"tibble","3.2.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"tidyr","1.3.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"tidyselect","1.2.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"tinytex","0.54","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"tools","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"tzdb","0.5.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"ucminf","1.2.3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"urlchecker","1.0.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"usethis","3.0.0","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"utf8","1.2.4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"utils","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"vctrs","0.6.5","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"viridisLite","0.4.3","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"vroom","1.7.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"waldo","0.6.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"whisker","0.4.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"withr","3.0.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"xfun","0.49","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"xml2","1.3.6","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"xopen","1.0.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"xtable","1.8-4","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"yaml","2.3.8","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"zip","2.3.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
