n_participants,mode,prior_source,model_level,prior_regime,threshold_mode,draw_index_english,draw_index_turkish,draw_index_norwegian,iter,warmup,chains,seed
130,assurance,pilot,L5_cross_maximal,primary,broad,6928,5958,3631,3000,1000,4,931140
130,assurance,pilot,L5_cross_maximal,primary,broad,6070,6,3704,3000,1000,4,931150
130,assurance,pilot,L5_cross_maximal,primary,broad,3702,2493,7427,3000,1000,4,931160
130,assurance,pilot,L5_cross_maximal,primary,broad,945,3940,652,3000,1000,4,931170
130,assurance,pilot,L5_cross_maximal,primary,broad,6759,591,3498,3000,1000,4,931180
130,assurance,pilot,L5_cross_maximal,primary,broad,2297,5794,4162,3000,1000,4,931190
150,assurance,pilot,L5_cross_maximal,primary,broad,515,5794,1609,3000,1000,4,931200
150,assurance,pilot,L5_cross_maximal,primary,broad,3644,5287,4494,3000,1000,4,931210
150,assurance,pilot,L5_cross_maximal,primary,broad,4653,1155,5595,3000,1000,4,931220
150,assurance,pilot,L5_cross_maximal,primary,broad,676,6251,6623,3000,1000,4,931230
150,assurance,pilot,L5_cross_maximal,primary,broad,1229,3850,656,3000,1000,4,931240
150,assurance,pilot,L5_cross_maximal,primary,broad,3500,707,3990,3000,1000,4,931250
150,assurance,pilot,L5_cross_maximal,primary,broad,2392,4293,4605,3000,1000,4,931260
150,assurance,pilot,L5_cross_maximal,primary,broad,6245,6356,953,3000,1000,4,931270
150,assurance,pilot,L5_cross_maximal,primary,broad,4003,2513,7416,3000,1000,4,931280
150,assurance,pilot,L5_cross_maximal,primary,broad,2165,6935,1934,3000,1000,4,931290
150,assurance,pilot,L5_cross_maximal,primary,broad,490,3228,2756,3000,1000,4,931300
150,assurance,pilot,L5_cross_maximal,primary,broad,1487,5435,7476,3000,1000,4,931310
150,assurance,pilot,L5_cross_maximal,primary,broad,4431,5972,5925,3000,1000,4,931320
150,assurance,pilot,L5_cross_maximal,primary,broad,943,6967,7470,3000,1000,4,931330
150,assurance,pilot,L5_cross_maximal,primary,broad,1775,7730,6678,3000,1000,4,931340
150,assurance,pilot,L5_cross_maximal,primary,broad,2902,2305,7432,3000,1000,4,931350
150,assurance,pilot,L5_cross_maximal,primary,broad,1727,788,6283,3000,1000,4,931360
150,assurance,pilot,L5_cross_maximal,primary,broad,627,6138,1679,3000,1000,4,931370
150,assurance,pilot,L5_cross_maximal,primary,broad,2263,5725,1661,3000,1000,4,931380
150,assurance,pilot,L5_cross_maximal,primary,broad,7974,1046,7376,3000,1000,4,931390
150,assurance,pilot,L5_cross_maximal,primary,broad,6406,4532,651,3000,1000,4,931400
150,assurance,pilot,L5_cross_maximal,primary,broad,3898,715,3901,3000,1000,4,931410
150,assurance,pilot,L5_cross_maximal,primary,broad,7362,1536,4455,3000,1000,4,931420
150,assurance,pilot,L5_cross_maximal,primary,broad,5485,4158,2042,3000,1000,4,931430
150,assurance,pilot,L5_cross_maximal,primary,broad,3039,2655,2575,3000,1000,4,931440
150,assurance,pilot,L5_cross_maximal,primary,broad,3841,7901,5850,3000,1000,4,931450
150,assurance,pilot,L5_cross_maximal,primary,broad,1206,412,378,3000,1000,4,931460
150,assurance,pilot,L5_cross_maximal,primary,broad,7239,3532,4659,3000,1000,4,931470
150,assurance,pilot,L5_cross_maximal,primary,broad,5318,7522,1542,3000,1000,4,931480
150,assurance,pilot,L5_cross_maximal,primary,broad,6013,2398,2295,3000,1000,4,931490
