language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
Turkish,L5_correlated_maximal,30,20,primary,H1a_semantics_positive,200,0.98,1,1607.8189530999357,294289.43620850175,0.995
Turkish,L5_correlated_maximal,30,20,primary,H1b_active_interaction_negative,200,0.345,0.695,5.790627494059502,33.58114299124959,0.995
Turkish,L5_correlated_maximal,30,20,primary,H2a_pseudo_positive,200,0.365,0.735,6.071121507846923,53.642802962631876,0.995
Turkish,L5_correlated_maximal,30,20,primary,H2b_pseudo_negative,200,0,0.005,0.16471442557564336,0.32931262301736897,0.995
Turkish,L5_correlated_maximal,40,20,primary,H1a_semantics_positive,200,1,1,951456.8045955172,517380.4517669107,0.995
Turkish,L5_correlated_maximal,40,20,primary,H1b_active_interaction_negative,200,0.585,0.83,13.371184364408593,65.96109515392055,0.995
Turkish,L5_correlated_maximal,40,20,primary,H2a_pseudo_positive,200,0.365,0.68,6.208818841008542,120.20005713063838,0.995
Turkish,L5_correlated_maximal,40,20,primary,H2b_pseudo_negative,200,0,0.02,0.1610613496784817,0.45293511226936223,0.995
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H1a_semantics_positive,200,1,1,980932.8072397129,635788.4854967593,1
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H1b_active_interaction_negative,200,0.545,0.845,12.520183013100244,5076.311212593305,1
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H2a_pseudo_positive,200,0.415,0.68,6.328155788281245,5124.455058970832,1
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H2b_pseudo_negative,200,0,0.015,0.1580252688404336,0.4386666787681463,1
Turkish,L5_correlated_maximal,50,20,literature_centred,H1a_semantics_positive,200,1,1,98825.53646192953,94169.47833535502,0.995
Turkish,L5_correlated_maximal,50,20,literature_centred,H1b_active_interaction_negative,200,0.615,0.87,15.593666143384208,5595.644632964417,0.995
Turkish,L5_correlated_maximal,50,20,literature_centred,H2a_pseudo_positive,200,0.495,0.835,9.697661118154759,70.38067772038109,0.995
Turkish,L5_correlated_maximal,50,20,literature_centred,H2b_pseudo_negative,200,0.005,0.01,0.10311791266205858,0.5176685494498249,0.995
Turkish,L5_correlated_maximal,50,20,primary,H1a_semantics_positive,200,1,1,989306.5137517047,696051.802074589,0.995
Turkish,L5_correlated_maximal,50,20,primary,H1b_active_interaction_negative,200,0.59,0.775,14.987643876191115,5066.376088869002,0.995
Turkish,L5_correlated_maximal,50,20,primary,H2a_pseudo_positive,200,0.425,0.715,7.596608836243998,5072.825233389548,0.995
Turkish,L5_correlated_maximal,50,20,primary,H2b_pseudo_negative,200,0.005,0.02,0.13163769157615451,0.468634205158643,0.995
Turkish,L5_correlated_maximal,50,20,weak,H1a_semantics_positive,200,0.995,1,981423.1975417305,636712.2463629892,0.995
Turkish,L5_correlated_maximal,50,20,weak,H1b_active_interaction_negative,200,0.725,0.875,25.051023111450732,35307.79299733898,0.995
Turkish,L5_correlated_maximal,50,20,weak,H2a_pseudo_positive,200,0.37,0.685,5.602896485520269,29.320322048094905,0.995
Turkish,L5_correlated_maximal,50,20,weak,H2b_pseudo_negative,200,0.01,0.035,0.1785152583669697,0.6924686026397663,0.995
Turkish,L5_correlated_maximal,60,20,primary,H1a_semantics_positive,200,1,1,996754.3069960764,828991.3993211275,1
Turkish,L5_correlated_maximal,60,20,primary,H1b_active_interaction_negative,200,0.73,0.9,32.02426301669314,15073.18959992561,1
Turkish,L5_correlated_maximal,60,20,primary,H2a_pseudo_positive,200,0.455,0.755,7.9785241177438895,5154.986909681209,1
Turkish,L5_correlated_maximal,60,20,primary,H2b_pseudo_negative,200,0,0.01,0.12533672945326155,0.30652840326723524,1
Turkish,L5_correlated_maximal,70,20,primary,H1a_semantics_positive,200,1,1,991535.1039735978,858926.3245686652,0.995
Turkish,L5_correlated_maximal,70,20,primary,H1b_active_interaction_negative,200,0.715,0.915,35.07000433077363,20175.123934465126,0.995
