language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
Norwegian,L5_correlated_maximal,90,20,proposal,H1a_semantics_positive,200,1,1,996006.9879953113,935862.2383845891,0.995
Norwegian,L5_correlated_maximal,90,20,proposal,H1b_active_interaction_negative,200,0.775,0.95,56.79795247974312,36102.75555972734,0.995
Norwegian,L5_correlated_maximal,100,20,proposal,H1a_semantics_positive,200,1,1,995260.2902590067,973171.6161343259,0.98
Norwegian,L5_correlated_maximal,100,20,proposal,H1b_active_interaction_negative,200,0.895,0.985,131.73693636493925,70743.5792130563,0.98
Turkish,L5_correlated_maximal,30,20,proposal,H1a_semantics_positive,400,0.9875,1,1463.674481977881,247869.86868261264,0.995
Turkish,L5_correlated_maximal,30,20,proposal,H1b_active_interaction_negative,400,0.36,0.71,6.292474610461907,31.625951077780595,0.995
Turkish,L5_correlated_maximal,30,20,proposal,H2a_pseudo_positive,400,0.4125,0.7425,6.9398646327592255,41.38704717191547,0.995
Turkish,L5_correlated_maximal,30,20,proposal,H2b_pseudo_negative,400,0,0.005,0.1440950633574457,0.3038924564956004,0.995
Turkish,L5_correlated_maximal,40,20,proposal,H1a_semantics_positive,400,1,1,8085.4602910073645,466287.37942349655,0.9975
Turkish,L5_correlated_maximal,40,20,proposal,H1b_active_interaction_negative,400,0.5225,0.805,10.860693396949152,69.45978247412727,0.9975
Turkish,L5_correlated_maximal,40,20,proposal,H2a_pseudo_positive,400,0.4,0.7375,7.134435870549412,97.79630195283532,0.9975
Turkish,L5_correlated_maximal,40,20,proposal,H2b_pseudo_negative,400,0,0.02,0.14016737694442358,0.39129369410717874,0.9975
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H1a_semantics_positive,200,1,1,980932.8072397129,635788.4854967593,1
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H1b_active_interaction_negative,200,0.545,0.845,12.520183013100244,5076.311212593305,1
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H2a_pseudo_positive,200,0.415,0.68,6.328155788281245,5124.455058970832,1
Turkish,L5_correlated_maximal,50,20,heavy_tailed,H2b_pseudo_negative,200,0,0.015,0.1580252688404336,0.4386666787681463,1
Turkish,L5_correlated_maximal,50,20,literature_centred,H1a_semantics_positive,200,1,1,98825.53646192953,94169.47833535502,0.995
Turkish,L5_correlated_maximal,50,20,literature_centred,H1b_active_interaction_negative,200,0.615,0.87,15.593666143384208,5595.644632964417,0.995
Turkish,L5_correlated_maximal,50,20,literature_centred,H2a_pseudo_positive,200,0.495,0.835,9.697661118154759,70.38067772038109,0.995
Turkish,L5_correlated_maximal,50,20,literature_centred,H2b_pseudo_negative,200,0.005,0.01,0.10311791266205858,0.5176685494498249,0.995
