"language","engine","variant","hypothesis","term","scheme","compared_with","n_reps","structure","r_mean","r_min","r_max","z_ratio_mean","z_ratio_min","z_ratio_max","est_full_mean","se_full_mean","z_full_mean","est_half_mean","se_half_mean","z_half_mean","n_half_singular","full_singular","r_analytic_N80","verb_floor_share_full"
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data with participant x verb x S_Type cell term",10,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.936609,0.887904,1.01419,0.928239,0.827898,1.05093,-0.276052,0.0588436,-4.69129,-0.274024,0.0629164,-4.35464,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","B_random_per_cell","full data with participant x verb x S_Type cell term",5,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.908843,0.815682,0.989587,0.979698,0.903983,1.05475,-0.276052,0.0588436,-4.69129,-0.299209,0.0650588,-4.59604,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","C_first_exposure","full data with participant x verb x S_Type cell term",1,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.886574,0.886574,0.886574,0.93718,0.93718,0.93718,-0.276052,0.0588436,-4.69129,-0.29181,0.0663719,-4.39658,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.93658,0.887876,1.01416,0.92821,0.827872,1.0509,-0.276052,0.0588418,-4.69143,-0.274024,0.0629164,-4.35464,0,FALSE,0.947849,0.662388
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","B_random_per_cell","full data, same model",5,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.908815,0.815656,0.989556,0.979667,0.903955,1.05472,-0.276052,0.0588418,-4.69143,-0.299209,0.0650588,-4.59604,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","C_first_exposure","full data, same model",1,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.886546,0.886546,0.886546,0.937151,0.937151,0.937151,-0.276052,0.0588418,-4.69143,-0.29181,0.0663719,-4.39658,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1b","S_TypeActive:Semantics_scaled","boot80_A_verb_split_lists","full data, same model",3,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.913175,0.856092,0.958186,0.946835,0.897456,1.00868,-0.276537,0.0641254,-4.32821,-0.287426,0.0701715,-4.10681,0,FALSE,NA,NA
"Turkish","clmm","clmm","h1a","Semantics_scaled","A_verb_split_lists","full data, same model",2,"R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)",0.989063,0.981034,0.997092,0.952182,0.912916,0.991447,0.286295,0.143557,1.9943,0.27573,0.145154,1.89893,0,FALSE,NA,NA
"Turkish","lmer","maximal","h1a","Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]",0.970018,0.925779,0.991946,0.975871,0.84395,1.09605,0.14385,0.0668865,2.15065,0.144949,0.0690024,2.09876,5,TRUE,NA,NA
"Turkish","lmer","maximal","h1a","Semantics_scaled","C_first_exposure","full data, same model",1,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]",0.880173,0.880173,0.880173,1.14928,1.14928,1.14928,0.14385,0.0668865,2.15065,0.187831,0.0759925,2.47171,0,TRUE,NA,NA
