"language","analysis","scheme","replicate","variant","engine","grp","var1","var2","vcov","sdcor","residual_sd"
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","ActSem",NA,0.0508307,0.225457,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","Act",-0.0881353,-0.26687,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","Sem",0.0658356,0.218977,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","ActSem",0.0333323,0.164738,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","Act","Sem",0.0779106,0.631977,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","Act","ActSem",-0.0765116,-0.922196,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","Sem","ActSem",-0.0516206,-0.683448,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Residual",NA,NA,1.07949,1.03898,1.03898
"English","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Cell","(Intercept)",NA,0.123989,0.352121,0.680025
"English","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","VS","(Intercept)",NA,0.0426481,0.206514,0.680025
"English","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","PS","(Intercept)",NA,0.500549,0.707495,0.680025
"English","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Participant","(Intercept)",NA,0.317667,0.563619,0.680025
"English","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Residual",NA,NA,0.462434,0.680025,0.680025
"Turkish","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Cell","(Intercept)",NA,0.116869,0.341861,0.646317
"Turkish","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","VS","(Intercept)",NA,0.0609871,0.246956,0.646317
"Turkish","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","PS","(Intercept)",NA,0.402898,0.634743,0.646317
"Turkish","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Participant","(Intercept)",NA,0.21723,0.466079,0.646317
"Turkish","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Residual",NA,NA,0.417725,0.646317,0.646317
"Norwegian","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Cell","(Intercept)",NA,0.587134,0.766247,0.781413
"Norwegian","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","VS","(Intercept)",NA,0.107257,0.327501,0.781413
"Norwegian","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","PS","(Intercept)",NA,0.042671,0.20657,0.781413
"Norwegian","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Participant","(Intercept)",NA,0.670593,0.818898,0.781413
"Norwegian","variance_latent","lmer_cell_term_subset",0,"intercepts","lmer","Residual",NA,NA,0.610606,0.781413,0.781413
