"language","analysis","scheme","replicate","variant","engine","structure","hypothesis","term","estimate","se","z","n_participants","n_rows","singular","opt_conv","max_grad","warnings","secs"
"English","information_loss","A_verb_split_lists",7,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.263192,0.0827905,3.17902,70,15120,FALSE,0,NA,"",86.53
"English","information_loss","A_verb_split_lists",7,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.345161,0.0802272,-4.30229,70,15120,FALSE,0,NA,"",86.53
"English","information_loss","A_verb_split_lists",7,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.411949,0.0846533,-4.86631,70,15120,FALSE,0,NA,"",86.53
"English","information_loss","A_verb_split_lists",8,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.269783,0.0791895,3.4068,70,15120,TRUE,0,NA,"",74.07
"English","information_loss","A_verb_split_lists",8,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.330961,0.0777305,-4.25781,70,15120,TRUE,0,NA,"",74.07
"English","information_loss","A_verb_split_lists",8,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.441336,0.0849479,-5.19537,70,15120,TRUE,0,NA,"",74.07
"English","information_loss","A_verb_split_lists",9,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.26061,0.0778013,3.34968,70,15120,TRUE,0,NA,"",94.79
"English","information_loss","A_verb_split_lists",9,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.332282,0.0756781,-4.39072,70,15120,TRUE,0,NA,"",94.79
"English","information_loss","A_verb_split_lists",9,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.434408,0.0834108,-5.20805,70,15120,TRUE,0,NA,"",94.79
"English","information_loss","A_verb_split_lists",10,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.241295,0.0794887,3.0356,70,15120,TRUE,0,NA,"",73.39
"English","information_loss","A_verb_split_lists",10,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.302057,0.0769737,-3.92416,70,15120,TRUE,0,NA,"",73.39
"English","information_loss","A_verb_split_lists",10,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.396247,0.0765994,-5.17298,70,15120,TRUE,0,NA,"",73.39
"English","information_loss","B_random_per_cell",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.298803,0.0823852,3.6269,70,15120,TRUE,0,NA,"",83.75
"English","information_loss","B_random_per_cell",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.375359,0.0784037,-4.78752,70,15120,TRUE,0,NA,"",83.75
"English","information_loss","B_random_per_cell",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.431752,0.0833073,-5.18264,70,15120,TRUE,0,NA,"",83.75
"English","information_loss","B_random_per_cell",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.273027,0.0822943,3.31769,70,15120,TRUE,0,NA,"",113.26
"English","information_loss","B_random_per_cell",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.328989,0.0781303,-4.21077,70,15120,TRUE,0,NA,"",113.26
"English","information_loss","B_random_per_cell",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.436024,0.080966,-5.38528,70,15120,TRUE,0,NA,"",113.26
"English","information_loss","B_random_per_cell",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.241076,0.080384,2.99906,70,15120,TRUE,0,NA,"",75.59
"English","information_loss","B_random_per_cell",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.313542,0.075734,-4.14004,70,15120,TRUE,0,NA,"",75.59
"English","information_loss","B_random_per_cell",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.421874,0.0812501,-5.19229,70,15120,TRUE,0,NA,"",75.59
"English","information_loss","B_random_per_cell",4,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.282465,0.083336,3.38947,70,15120,FALSE,0,NA,"",110.78
"English","information_loss","B_random_per_cell",4,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.346323,0.0818813,-4.22957,70,15120,FALSE,0,NA,"",110.78
"English","information_loss","B_random_per_cell",4,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.460469,0.0872192,-5.27944,70,15120,FALSE,0,NA,"",110.78
"English","information_loss","B_random_per_cell",5,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.256414,0.0813947,3.15025,70,15120,TRUE,0,NA,"",104.19
"English","information_loss","B_random_per_cell",5,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.33653,0.0772755,-4.35494,70,15120,TRUE,0,NA,"",104.19
"English","information_loss","B_random_per_cell",5,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.400941,0.0881411,-4.54886,70,15120,TRUE,0,NA,"",104.19
"Turkish","information_loss","C_first_exposure",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.187831,0.0642622,2.92288,70,15120,FALSE,0,NA,"",19.25
"Turkish","information_loss","C_first_exposure",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.155824,0.0376146,-4.14266,70,15120,FALSE,0,NA,"",19.25
"Turkish","information_loss","C_first_exposure",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0815809,0.051643,1.57971,70,15120,FALSE,0,NA,"",19.25
"Turkish","information_loss","A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.143442,0.054874,2.61402,70,15120,FALSE,0,NA,"",26.9
"Turkish","information_loss","A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.124768,0.0308907,-4.03901,70,15120,FALSE,0,NA,"",26.9
"Turkish","information_loss","A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0696886,0.0433862,1.60624,70,15120,FALSE,0,NA,"",26.9
"Turkish","information_loss","A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.129566,0.0563304,2.30011,70,15120,FALSE,0,NA,"",41.91
"Turkish","information_loss","A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.103215,0.0318181,-3.24391,70,15120,FALSE,0,NA,"",41.91
"Turkish","information_loss","A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0899838,0.042279,2.12833,70,15120,FALSE,0,NA,"",41.91
"Turkish","information_loss","A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.157601,0.0588098,2.67983,70,15120,FALSE,0,NA,"",28.81
"Turkish","information_loss","A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.127803,0.0322956,-3.9573,70,15120,FALSE,0,NA,"",28.81
"Turkish","information_loss","A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0704204,0.0486702,1.44689,70,15120,FALSE,0,NA,"",28.81
"Turkish","information_loss","A_verb_split_lists",4,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.150424,0.0554868,2.71098,70,15120,FALSE,0,NA,"",22.5
"Turkish","information_loss","A_verb_split_lists",4,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.128746,0.0336474,-3.82632,70,15120,FALSE,0,NA,"",22.5
"Turkish","information_loss","A_verb_split_lists",4,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0757865,0.0464626,1.63113,70,15120,FALSE,0,NA,"",22.5
"Turkish","information_loss","A_verb_split_lists",5,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.123155,0.0566309,2.17469,70,15120,FALSE,0,NA,"",12.87
"Turkish","information_loss","A_verb_split_lists",5,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.108603,0.0326852,-3.3227,70,15120,FALSE,0,NA,"",12.87
"Turkish","information_loss","A_verb_split_lists",5,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.105135,0.0476204,2.20777,70,15120,FALSE,0,NA,"",12.87
"Turkish","information_loss","A_verb_split_lists",6,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.168779,0.0588675,2.8671,70,15120,FALSE,0,NA,"",17.98
"Turkish","information_loss","A_verb_split_lists",6,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.146031,0.0361589,-4.0386,70,15120,FALSE,0,NA,"",17.98
"Turkish","information_loss","A_verb_split_lists",6,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0571153,0.0469007,1.21779,70,15120,FALSE,0,NA,"",17.98
"Turkish","information_loss","A_verb_split_lists",7,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.135533,0.0561152,2.41527,70,15120,FALSE,0,NA,"",21.63
"Turkish","information_loss","A_verb_split_lists",7,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.106721,0.0326245,-3.27121,70,15120,FALSE,0,NA,"",21.63
"Turkish","information_loss","A_verb_split_lists",7,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0872657,0.0456398,1.91205,70,15120,FALSE,0,NA,"",21.63
"Turkish","information_loss","A_verb_split_lists",8,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.163557,0.0566313,2.8881,70,15120,FALSE,0,NA,"",13.79
"Turkish","information_loss","A_verb_split_lists",8,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.144492,0.0354252,-4.07879,70,15120,FALSE,0,NA,"",13.79
"Turkish","information_loss","A_verb_split_lists",8,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0646963,0.0449045,1.44075,70,15120,FALSE,0,NA,"",13.79
"Turkish","information_loss","A_verb_split_lists",9,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.141654,0.055769,2.54001,70,15120,FALSE,0,NA,"",21.56
"Turkish","information_loss","A_verb_split_lists",9,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.126336,0.0315529,-4.00395,70,15120,FALSE,0,NA,"",21.56
"Turkish","information_loss","A_verb_split_lists",9,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0677749,0.0456395,1.485,70,15120,FALSE,0,NA,"",21.56
"Turkish","information_loss","A_verb_split_lists",10,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.13578,0.0552365,2.45816,70,15120,FALSE,0,NA,"",12.76
"Turkish","information_loss","A_verb_split_lists",10,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.105313,0.0344976,-3.05275,70,15120,FALSE,0,NA,"",12.76
"Turkish","information_loss","A_verb_split_lists",10,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.113853,0.0480044,2.37171,70,15120,FALSE,0,NA,"",12.76
"Turkish","information_loss","C_first_exposure",0,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.187831,0.0759925,2.47171,70,15120,FALSE,0,NA,"",152.63
"Turkish","information_loss","C_first_exposure",0,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.155824,0.0510139,-3.05455,70,15120,FALSE,0,NA,"",152.63
"Turkish","information_loss","C_first_exposure",0,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0815809,0.057899,1.40902,70,15120,FALSE,0,NA,"",152.63
"Turkish","information_loss","A_verb_split_lists",1,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.143442,0.0674296,2.12729,70,15120,TRUE,0,NA,"",126.89
"Turkish","information_loss","A_verb_split_lists",1,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.124768,0.0452737,-2.75585,70,15120,TRUE,0,NA,"",126.89
"Turkish","information_loss","A_verb_split_lists",1,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0696886,0.0509411,1.36802,70,15120,TRUE,0,NA,"",126.89
"Turkish","information_loss","A_verb_split_lists",2,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.129566,0.0681159,1.90214,70,15120,TRUE,0,NA,"",162.83
"Turkish","information_loss","A_verb_split_lists",2,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.103215,0.0454657,-2.27018,70,15120,TRUE,0,NA,"",162.83
"Turkish","information_loss","A_verb_split_lists",2,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0899838,0.051353,1.75226,70,15120,TRUE,0,NA,"",162.83
"Turkish","information_loss","A_verb_split_lists",3,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.157601,0.0722488,2.18136,70,15120,TRUE,0,NA,"",140
"Turkish","information_loss","A_verb_split_lists",3,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.127803,0.0465144,-2.7476,70,15120,TRUE,0,NA,"",140
"Turkish","information_loss","A_verb_split_lists",3,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0704204,0.0566984,1.24202,70,15120,TRUE,0,NA,"",140
"Turkish","information_loss","A_verb_split_lists",4,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.150424,0.0674852,2.22899,70,15120,FALSE,0,NA,"",190.5
"Turkish","information_loss","A_verb_split_lists",4,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.128746,0.047079,-2.73468,70,15120,FALSE,0,NA,"",190.5
"Turkish","information_loss","A_verb_split_lists",4,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0757865,0.0553133,1.37013,70,15120,FALSE,0,NA,"",190.5
"Turkish","information_loss","A_verb_split_lists",5,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.123155,0.0678521,1.81504,70,15120,FALSE,0,NA,"",150.84
"Turkish","information_loss","A_verb_split_lists",5,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.108603,0.0440526,-2.46531,70,15120,FALSE,0,NA,"",150.84
"Turkish","information_loss","A_verb_split_lists",5,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.105135,0.0544784,1.92984,70,15120,FALSE,0,NA,"",150.84
"Turkish","information_loss","A_verb_split_lists",6,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.168779,0.0722217,2.33696,70,15120,FALSE,0,NA,"",104.28
"Turkish","information_loss","A_verb_split_lists",6,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.146031,0.0492973,-2.96225,70,15120,FALSE,0,NA,"",104.28
"Turkish","information_loss","A_verb_split_lists",6,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0571153,0.0551721,1.03522,70,15120,FALSE,0,NA,"",104.28
"Turkish","information_loss","A_verb_split_lists",7,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.135533,0.0703099,1.92766,70,15120,FALSE,0,NA,"",192.81
"Turkish","information_loss","A_verb_split_lists",7,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.106721,0.0474712,-2.24813,70,15120,FALSE,0,NA,"",192.81
"Turkish","information_loss","A_verb_split_lists",7,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0872657,0.0551891,1.58121,70,15120,FALSE,0,NA,"",192.81
"Turkish","information_loss","A_verb_split_lists",8,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.163557,0.0693852,2.35723,70,15120,TRUE,0,NA,"",98.75
"Turkish","information_loss","A_verb_split_lists",8,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.144492,0.0489809,-2.94996,70,15120,TRUE,0,NA,"",98.75
"Turkish","information_loss","A_verb_split_lists",8,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0646963,0.055101,1.17414,70,15120,TRUE,0,NA,"",98.75
"Turkish","information_loss","A_verb_split_lists",9,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.141654,0.0674421,2.10037,70,15120,FALSE,0,NA,"",140.72
"Turkish","information_loss","A_verb_split_lists",9,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.126336,0.0433246,-2.91604,70,15120,FALSE,0,NA,"",140.72
"Turkish","information_loss","A_verb_split_lists",9,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0677749,0.0492947,1.37489,70,15120,FALSE,0,NA,"",140.72
"Turkish","information_loss","A_verb_split_lists",10,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.13578,0.0675336,2.01056,70,15120,TRUE,0,NA,"",155.52
"Turkish","information_loss","A_verb_split_lists",10,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.105313,0.0473895,-2.22228,70,15120,TRUE,0,NA,"",155.52
"Turkish","information_loss","A_verb_split_lists",10,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.113853,0.0554389,2.05366,70,15120,TRUE,0,NA,"",155.52
"Turkish","information_loss","B_random_per_cell",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.124262,0.0562794,2.20795,70,15120,FALSE,0,NA,"",30.83
"Turkish","information_loss","B_random_per_cell",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.105598,0.0349435,-3.02196,70,15120,FALSE,0,NA,"",30.83
"Turkish","information_loss","B_random_per_cell",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.116129,0.0505394,2.29779,70,15120,FALSE,0,NA,"",30.83
"Turkish","information_loss","B_random_per_cell",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.160713,0.056259,2.85666,70,15120,FALSE,0,NA,"",29.86
"Turkish","information_loss","B_random_per_cell",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.133003,0.0331,-4.01823,70,15120,FALSE,0,NA,"",29.86
"Turkish","information_loss","B_random_per_cell",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0895686,0.0436014,2.05426,70,15120,FALSE,0,NA,"",29.86
"Turkish","information_loss","B_random_per_cell",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.143698,0.0565855,2.53948,70,15120,FALSE,0,NA,"",24.21
"Turkish","information_loss","B_random_per_cell",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.118784,0.0345924,-3.43382,70,15120,FALSE,0,NA,"",24.21
"Turkish","information_loss","B_random_per_cell",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0882485,0.0492648,1.79131,70,15120,FALSE,0,NA,"",24.21
"Turkish","information_loss","B_random_per_cell",4,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.122175,0.0577782,2.11455,70,15120,FALSE,0,NA,"",25.28
"Turkish","information_loss","B_random_per_cell",4,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.100987,0.0345927,-2.9193,70,15120,FALSE,0,NA,"",25.28
"Turkish","information_loss","B_random_per_cell",4,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0907511,0.0465369,1.95009,70,15120,FALSE,0,NA,"",25.28
"Turkish","information_loss","B_random_per_cell",5,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.166474,0.0576198,2.88918,70,15120,FALSE,0,NA,"",24.03
"Turkish","information_loss","B_random_per_cell",5,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.150329,0.0334105,-4.49946,70,15120,FALSE,0,NA,"",24.03
"Turkish","information_loss","B_random_per_cell",5,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0833659,0.0524012,1.59092,70,15120,FALSE,0,NA,"",24.03
"Norwegian","information_loss","full",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.172357,0.100745,1.71083,57,15048,FALSE,0,NA,"",5.9
