language,mode,n_participants,reps,p_h1a,p_h1b,p_joint,p_h1a_bf6,p_h1b_bf6,p_joint_bf6,p_h1a_bf3,p_h1b_bf3,p_joint_bf3,n_converged,p_joint_converged,p_h1b_converged,p_h1b_bf19,mcse_p_h1b,mcse_p_joint
Norwegian,assurance,80,120,0.6916666666666667,0.9666666666666667,0.6833333333333333,0.7333333333333333,0.975,0.7333333333333333,0.8416666666666667,0.9833333333333333,0.8416666666666667,33,0.6666666666666666,1,0.9083333333333333,0.01638653467083625,0.04246458219199549
Norwegian,assurance,100,144,0.8333333333333334,0.9722222222222222,0.8194444444444444,0.8611111111111112,0.9861111111111112,0.8541666666666666,0.9027777777777778,0.9861111111111112,0.8958333333333334,25,0.88,1,0.9583333333333334,0.01369462912754541,0.03205412598177368
Norwegian,assurance,130,24,0.9166666666666666,0.9583333333333334,0.875,0.9583333333333334,0.9583333333333334,0.9166666666666666,1,0.9583333333333334,0.9583333333333334,2,1,1,0.9583333333333334,0.04078937543219002,0.06750771560841522
Turkish,assurance,30,24,0.625,0.3333333333333333,0.20833333333333334,0.75,0.4583333333333333,0.375,0.7916666666666666,0.625,0.5,19,0.15789473684210525,0.2631578947368421,0.125,0.09622504486493763,0.08289816934939807
Turkish,assurance,50,24,0.8333333333333334,0.4166666666666667,0.375,0.8333333333333334,0.4166666666666667,0.375,0.875,0.625,0.5416666666666666,7,0.14285714285714285,0.14285714285714285,0.2916666666666667,0.10063456073742665,0.09882117688026186
Turkish,assurance,70,144,0.6875,0.5625,0.3680555555555556,0.7708333333333334,0.6111111111111112,0.4791666666666667,0.8472222222222222,0.7152777777777778,0.6041666666666666,38,0.47368421052631576,0.631578947368421,0.4375,0.04133986423538423,0.04018971188661959
Turkish,assurance,80,120,0.75,0.5666666666666667,0.4166666666666667,0.8166666666666667,0.6416666666666667,0.5166666666666667,0.875,0.7416666666666667,0.6416666666666667,12,0.3333333333333333,0.5,0.5,0.04523600663516063,0.04500514373894347
Turkish,assurance,100,144,0.75,0.5347222222222222,0.3819444444444444,0.7986111111111112,0.6319444444444444,0.4930555555555556,0.9097222222222222,0.7638888888888888,0.7013888888888888,5,0.6,0.6,0.4652777777777778,0.04156607585151744,0.040488585994703244
Turkish,assurance,130,24,0.7083333333333334,0.5,0.2916666666666667,0.7916666666666666,0.5833333333333334,0.4583333333333333,0.9166666666666666,0.8333333333333334,0.75,0,NA,NA,0.4583333333333333,0.10206207261596575,0.09278048066588464
Turkish,assurance,150,40,0.725,0.525,0.35,0.85,0.7,0.625,0.9,0.725,0.675,0,NA,NA,0.45,0.07895805848676878,0.07541551564499178
Turkish,assurance,200,40,0.65,0.675,0.425,0.75,0.675,0.475,0.875,0.8,0.675,0,NA,NA,0.5,0.07405656621799311,0.07816249100431741
Turkish,assurance,250,40,0.725,0.625,0.425,0.85,0.65,0.525,0.9,0.75,0.675,0,NA,NA,0.525,0.07654655446197431,0.07816249100431741
Turkish,assurance,300,39,0.5897435897435898,0.6666666666666666,0.358974358974359,0.6923076923076923,0.7948717948717948,0.5128205128205128,0.8717948717948718,0.7948717948717948,0.6923076923076923,0,NA,NA,0.6153846153846154,0.07548513560963972,0.07681342173272795
Turkish,assurance,400,22,0.5454545454545454,0.6818181818181818,0.4090909090909091,0.6818181818181818,0.7727272727272727,0.5454545454545454,0.7272727272727273,0.9090909090909091,0.6363636363636364,0,NA,NA,0.5909090909090909,0.09930260198923899,0.10482356110715554
English,safeguard,30,24,0.25,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.25,0.5,0.8333333333333334,0.4583333333333333,22,0.13636363636363635,0.4090909090909091,0.2916666666666667,0.10063456073742665,0.07607257743127308
English,safeguard,50,24,0.25,0.5833333333333334,0.16666666666666666,0.375,0.5833333333333334,0.25,0.4583333333333333,0.8333333333333334,0.4583333333333333,13,0.23076923076923078,0.7692307692307693,0.4166666666666667,0.10063456073742666,0.07607257743127308
English,safeguard,70,24,0.375,0.6666666666666666,0.25,0.5833333333333334,0.8333333333333334,0.5,0.7083333333333334,0.9583333333333334,0.6666666666666666,4,0,1,0.4583333333333333,0.09622504486493763,0.08838834764831845
English,safeguard,100,24,0.125,0.7083333333333334,0.08333333333333333,0.25,0.7916666666666666,0.20833333333333334,0.375,0.875,0.3333333333333333,5,0,0.4,0.5416666666666666,0.09278048066588464,0.0564169333655275
English,safeguard,130,24,0.125,0.75,0.041666666666666664,0.125,0.75,0.041666666666666664,0.5416666666666666,0.9583333333333334,0.5,1,0,0,0.5416666666666666,0.08838834764831845,0.040789375432190036
Norwegian,safeguard,30,24,0.2916666666666667,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.7083333333333334,0.20833333333333334,0.4583333333333333,0.8333333333333334,0.375,22,0.18181818181818182,0.5909090909090909,0.4583333333333333,0.10063456073742666,0.07607257743127308
Norwegian,safeguard,50,24,0.25,0.7083333333333334,0.25,0.3333333333333333,0.75,0.2916666666666667,0.4583333333333333,0.75,0.4166666666666667,12,0.25,0.75,0.5416666666666666,0.09278048066588464,0.08838834764831845
Norwegian,safeguard,70,24,0.3333333333333333,0.875,0.3333333333333333,0.4583333333333333,0.875,0.375,0.7916666666666666,0.9166666666666666,0.75,13,0.15384615384615385,0.8461538461538461,0.7916666666666666,0.06750771560841522,0.09622504486493763
Norwegian,safeguard,100,24,0.5833333333333334,0.9583333333333334,0.5833333333333334,0.7083333333333334,1,0.7083333333333334,0.8333333333333334,1,0.8333333333333334,4,0.5,1,0.9166666666666666,0.04078937543219002,0.10063456073742666
Norwegian,safeguard,130,24,0.4166666666666667,1,0.4166666666666667,0.5833333333333334,1,0.5833333333333334,0.7916666666666666,1,0.7916666666666666,2,0.5,1,1,0,0.10063456073742665
Turkish,safeguard,30,24,0.2916666666666667,0.20833333333333334,0.08333333333333333,0.4166666666666667,0.20833333333333334,0.08333333333333333,0.5833333333333334,0.2916666666666667,0.20833333333333334,20,0.05,0.2,0,0.08289816934939807,0.0564169333655275
Turkish,safeguard,50,24,0.2916666666666667,0.16666666666666666,0.041666666666666664,0.375,0.25,0.041666666666666664,0.5416666666666666,0.4166666666666667,0.20833333333333334,12,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.07607257743127308,0.040789375432190036
Turkish,safeguard,70,24,0.2916666666666667,0.25,0.125,0.3333333333333333,0.3333333333333333,0.125,0.5833333333333334,0.5416666666666666,0.3333333333333333,5,0,0,0.125,0.08838834764831845,0.06750771560841522
Turkish,safeguard,100,24,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.4583333333333333,0.16666666666666666,0.125,0.5416666666666666,0.20833333333333334,0.125,1,0,0,0.125,0.07607257743127308,0.0564169333655275
Turkish,safeguard,130,24,0.375,0.25,0.041666666666666664,0.5416666666666666,0.4166666666666667,0.16666666666666666,0.75,0.5,0.3333333333333333,0,NA,NA,0.08333333333333333,0.08838834764831845,0.040789375432190036
